"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"99年底","男",7646,1083,128,861,5574,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年底","女",19888,10067,1720,217,7884,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 1月底","合計",20627,7949,1576,898,10204,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 1月底","男",5007,550,91,730,3636,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 1月底","女",15620,7399,1485,168,6568,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 2月底","合計",21370,8259,1595,919,10597,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 2月底","男",5259,583,91,746,3839,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 2月底","女",16111,7676,1504,173,6758,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 3月底","合計",22487,8699,1637,951,11200,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 3月底","男",5700,637,96,771,4196,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 3月底","女",16787,8062,1541,180,7004,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 4月底","合計",23353,9047,1664,975,11667,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 4月底","男",6056,701,103,790,4462,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 4月底","女",17297,8346,1561,185,7205,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 5月底","合計",24212,9390,1684,996,12142,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 5月底","男",6440,766,106,806,4762,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 5月底","女",17772,8624,1578,190,7380,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 6月底","合計",24900,9735,1698,1010,12457,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 6月底","男",6710,838,107,815,4950,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 6月底","女",18190,8897,1591,195,7507,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 7月底","合計",25649,10099,1721,1029,12800,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 7月底","男",7032,914,110,830,5178,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 7月底","女",18617,9185,1611,199,7622,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 8月底","合計",26259,10385,1746,1061,13067,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 8月底","男",7296,991,111,856,5338,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 8月底","女",18963,9394,1635,205,7729,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 9月底","合計",26908,10689,1789,1079,13351,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 9月底","男",7546,1046,113,871,5516,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 9月底","女",19362,9643,1676,208,7835,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 10月底","合計",27343,10903,1821,1066,13553,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 10月底","男",7692,1078,118,860,5636,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 10月底","女",19651,9825,1703,206,7917,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 11月底","合計",27372,11045,1834,1075,13418,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 11月底","男",7626,1070,126,862,5568,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 11月底","女",19746,9975,1708,213,7850,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 12月底","合計",27534,11150,1848,1078,13458,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 12月底","男",7646,1083,128,861,5574,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"99年 12月底","女",19888,10067,1720,217,7884,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年底","合計",33730,14405,2111,1258,15956,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年底","男",10437,1706,164,1033,7534,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年底","女",23293,12699,1947,225,8422,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 1月底","合計",27358,11180,1846,1050,13282,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 1月底","男",7496,1062,127,841,5466,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 1月底","女",19862,10118,1719,209,7816,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 2月底","合計",27627,11318,1850,1062,13397,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 2月底","男",7629,1090,123,860,5556,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 2月底","女",19998,10228,1727,202,7841,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 3月底","合計",28193,11564,1869,1049,13711,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 3月底","男",7936,1149,127,849,5811,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 3月底","女",20257,10415,1742,200,7900,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 4月底","合計",28605,11770,1892,1066,13877,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 4月底","男",8130,1188,126,866,5950,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 4月底","女",20475,10582,1766,200,7927,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 5月底","合計",29243,12075,1911,1078,14179,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 5月底","男",8411,1268,125,877,6141,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 5月底","女",20832,10807,1786,201,8038,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 6月底","合計",29872,12412,1926,1101,14433,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 6月底","男",8738,1372,135,896,6335,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 6月底","女",21134,11040,1791,205,8098,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 7月底","合計",30535,12685,1961,1137,14752,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 7月底","男",9094,1458,145,926,6565,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 7月底","女",21441,11227,1816,211,8187,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 8月底","合計",31170,12994,2000,1159,15017,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 8月底","男",9382,1528,153,950,6751,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 8月底","女",21788,11466,1847,209,8266,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 9月底","合計",31912,13387,2030,1187,15308,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 9月底","男",9679,1585,159,976,6959,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 9月底","女",22233,11802,1871,211,8349,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 10月底","合計",32504,13712,2058,1201,15533,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 10月底","男",9978,1646,159,988,7185,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 10月底","女",22526,12066,1899,213,8348,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 11月底","合計",33202,14132,2084,1230,15756,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 11月底","男",10279,1704,159,1009,7407,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 11月底","女",22923,12428,1925,221,8349,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 12月底","合計",33730,14405,2111,1258,15956,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 12月底","男",10437,1706,164,1033,7534,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100年 12月底","女",23293,12699,1947,225,8422,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年底","合計",37177,16088,2269,1117,17703,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年底","男",12357,1981,201,930,9245,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年底","女",24820,14107,2068,187,8458,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 1月底","合計",34207,14737,2139,1256,16075,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 1月底","男",10520,1739,169,1030,7582,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 1月底","女",23687,12998,1970,226,8493,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 2月底","合計",35312,15091,2144,1272,16805,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 2月底","男",11153,1807,170,1047,8129,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 2月底","女",24159,13284,1974,225,8676,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 3月底","合計",36035,15352,2177,1258,17248,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 3月底","男",11539,1837,175,1044,8483,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 3月底","女",24496,13515,2002,214,8765,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 4月底","合計",36602,15577,2197,1262,17566,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 4月底","男",11838,1881,178,1045,8734,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 4月底","女",24764,13696,2019,217,8832,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 5月底","合計",36907,15718,2224,1280,17685,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 5月底","男",12037,1919,183,1060,8875,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 5月底","女",24870,13799,2041,220,8810,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 6月底","合計",37285,15901,2230,1295,17859,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 6月底","男",12265,1985,188,1074,9018,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 6月底","女",25020,13916,2042,221,8841,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 7月底","合計",37469,15969,2254,1270,17976,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 7月底","男",12440,2022,187,1060,9171,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 7月底","女",25029,13947,2067,210,8805,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 8月底","合計",37578,16065,2268,1221,18024,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 8月底","男",12475,2028,195,1017,9235,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 8月底","女",25103,14037,2073,204,8789,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 9月底","合計",37645,16132,2267,1197,18049,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 9月底","男",12530,2053,195,999,9283,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 9月底","女",25115,14079,2072,198,8766,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 10月底","合計",37579,16145,2262,1181,17991,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 10月底","男",12524,2025,198,985,9316,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 10月底","女",25055,14120,2064,196,8675,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 11月底","合計",37172,15991,2250,1131,17800,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 11月底","男",12414,2006,198,937,9273,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 11月底","女",24758,13985,2052,194,8527,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 12月底","合計",37177,16088,2269,1117,17703,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 12月底","男",12357,1981,201,930,9245,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"101年 12月底","女",24820,14107,2068,187,8458,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年底","合計",41724,18875,2350,937,19562,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年底","男",14350,2513,235,767,10835,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年底","女",27374,16362,2115,170,8727,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 1月底","合計",37299,16264,2292,1071,17672,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 1月底","男",12323,1988,202,888,9245,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 1月底","女",24976,14276,2090,183,8427,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 2月底","合計",37706,16406,2297,1058,17945,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 2月底","男",12545,2012,206,876,9451,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 2月底","女",25161,14394,2091,182,8494,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 3月底","合計",38230,16573,2304,1018,18335,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 3月底","男",12873,2065,211,838,9759,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 3月底","女",25357,14508,2093,180,8576,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 4月底","合計",38455,16638,2288,1002,18527,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 4月底","男",13036,2070,210,821,9935,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 4月底","女",25419,14568,2078,181,8592,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 5月底","合計",38534,16696,2281,973,18584,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 5月底","男",13127,2107,210,798,10012,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 5月底","女",25407,14589,2071,175,8572,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 6月底","合計",38629,16755,2291,954,18629,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 6月底","男",13176,2113,212,785,10066,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 6月底","女",25453,14642,2079,169,8563,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 7月底","合計",39169,17016,2316,956,18881,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 7月底","男",13429,2173,217,788,10251,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 7月底","女",25740,14843,2099,168,8630,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 8月底","合計",39491,17280,2312,927,18972,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 8月底","男",13547,2235,217,766,10329,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 8月底","女",25944,15045,2095,161,8643,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 9月底","合計",40158,17640,2318,925,19275,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 9月底","男",13869,2326,218,761,10564,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 9月底","女",26289,15314,2100,164,8711,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 10月底","合計",41637,18439,2374,946,19878,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 10月底","男",14453,2450,235,776,10992,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 10月底","女",27184,15989,2139,170,8886,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 11月底","合計",42545,18981,2392,955,20217,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 11月底","男",14773,2537,240,784,11212,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 11月底","女",27772,16444,2152,171,9005,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 12月底","合計",41724,18875,2350,937,19562,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 12月底","男",14350,2513,235,767,10835,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"102年 12月底","女",27374,16362,2115,170,8727,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年底","合計",43222,20269,2345,867,19741,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年底","男",16030,3137,283,717,11893,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年底","女",27192,17132,2062,150,7848,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 1月底","合計",41651,19153,2354,932,19212,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 1月底","男",14171,2542,237,760,10632,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 1月底","女",27480,16611,2117,172,8580,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 2月底","合計",42572,19674,2369,951,19578,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 2月底","男",14634,2690,244,772,10928,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 2月底","女",27938,16984,2125,179,8650,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 3月底","合計",43009,20244,2373,949,19443,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 3月底","男",14704,2780,242,773,10909,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 3月底","女",28305,17464,2131,176,8534,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 4月底","合計",43319,20467,2391,947,19514,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 4月底","男",14860,2821,244,771,11024,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 4月底","女",28459,17646,2147,176,8490,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 5月底","合計",43772,20732,2407,951,19682,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 5月底","男",15080,2892,251,781,11156,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 5月底","女",28692,17840,2156,170,8526,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 6月底","合計",44686,21167,2434,968,20117,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 6月底","男",15600,3009,268,795,11528,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 6月底","女",29086,18158,2166,173,8589,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 7月底","合計",45579,21521,2460,983,20615,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 7月底","男",16190,3151,276,811,11952,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 7月底","女",29389,18370,2184,172,8663,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 8月底","合計",45029,21075,2406,955,20593,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 8月底","男",16270,3135,278,792,12065,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 8月底","女",28759,17940,2128,163,8528,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 9月底","合計",44245,21109,2399,923,19814,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 9月底","男",15865,3176,273,765,11651,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 9月底","女",28380,17933,2126,158,8163,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 10月底","合計",43192,20348,2357,906,19581,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 10月底","男",15760,3098,267,756,11639,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 10月底","女",27432,17250,2090,150,7942,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 11月底","合計",42768,19998,2340,869,19561,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 11月底","男",15804,3085,269,722,11728,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 11月底","女",26964,16913,2071,147,7833,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 12月底","合計",43222,20269,2345,867,19741,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 12月底","男",16030,3137,283,717,11893,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"103年 12月底","女",27192,17132,2062,150,7848,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年底","合計",51109,22772,2599,871,24866,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年底","男",20974,3830,369,733,16041,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年底","女",30135,18942,2230,138,8825,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 1月底","合計",43688,20473,2359,866,19990,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 1月底","男",16227,3171,282,717,12057,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 1月底","女",27461,17302,2077,149,7933,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 2月底","合計",44204,20767,2380,879,20178,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 2月底","男",16422,3224,288,726,12184,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 2月底","女",27782,17543,2092,153,7994,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 3月底","合計",46120,21105,2417,881,21717,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 3月底","男",17851,3331,308,735,13477,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 3月底","女",28269,17774,2109,146,8240,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 4月底","合計",46865,21238,2431,880,22316,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 4月底","男",18419,3394,307,737,13981,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 4月底","女",28446,17844,2124,143,8335,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 5月底","合計",47812,21625,2436,872,22879,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 5月底","男",18959,3503,305,725,14426,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 5月底","女",28853,18122,2131,147,8453,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 6月底","合計",48433,21819,2457,870,23287,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 6月底","男",19362,3570,313,724,14755,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 6月底","女",29071,18249,2144,146,8532,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 7月底","合計",49939,22430,2482,888,24139,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 7月底","男",20172,3738,322,742,15370,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 7月底","女",29767,18692,2160,146,8769,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 8月底","合計",50352,22495,2515,900,24441,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 8月底","男",20455,3752,336,753,15613,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 8月底","女",29897,18743,2179,147,8828,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"104年 9月底","合計",51224,22802,2544,908,24969,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
